32940,10005,1,1466100186000,Mountain View
32940,10007,1,1466100188000,Mountain View
32940,10015,1,1466100182000,Mountain View
32940,90012,1,1466100192000,Mountain View
32940,90013,1,1466100192000,Mountain View
32940,90015,1,1466100194000,Mountain View
28865,10001,1,1466100062000,Mountain View
28865,10003,1,1466100158000,Mountain View
28865,10007,1,1466100066000,Mountain View
28865,90004,1,1466100094000,Mountain View
28865,90009,1,1466100092000,Mountain View
28865,90011,1,1466100082000,Mountain View
21141,10002,1,1466099810000,Mountain View
21141,10003,1,1466099812000,Mountain View
21141,10004,1,1466099812000,Mountain View
21141,90001,1,1466099800000,Mountain View
21141,90002,1,1466099802000,Mountain View
21141,90003,1,1466099804000,Mountain View
28024,10001,1,1466100176000,Mountain View
28024,10004,1,1466100192000,Mountain View
28024,10006,1,1466100188000,Mountain View
28024,90003,1,1466100194000,Mountain View
28024,90006,1,1466100196000,Mountain View
28024,90007,1,1466100196000,Mountain View
57462,10001,1,1466092046000,Mountain View
57462,10003,1,1466092056000,Mountain View
57462,10006,1,1466092024000,Mountain View
57462,10010,1,1466092054000,Mountain View
57462,10012,1,1466092066000,Mountain View
57462,10013,1,1466092082000,Mountain View
57462,10014,1,1466092050000,Mountain View
57462,90011,1,1466092060000,Mountain View
72875,10002,1,1466100050000,Mountain View
72875,10010,1,1466100058000,Mountain View
72875,10012,1,1466100056000,Mountain View
72875,90003,1,1466100094000,Mountain View
72875,90008,1,1466100084000,Mountain View
72875,90015,1,1466100090000,Mountain View
80374,10001,1,1466051472000,Mountain View
80374,10006,1,1466051474000,Mountain View
80374,10007,1,1466051474000,Mountain View
80374,10012,1,1466051474000,Mountain View
80374,10013,1,1466051476000,Mountain View
80374,90003,1,1466051470000,Mountain View
80374,90004,1,1466051470000,Mountain View
80374,90009,1,1466051472000,Mountain View
80374,90010,1,1466051472000,Mountain View
80374,90015,1,1466051472000,Mountain View
21619,10012,1,1465049318000,San Francisco
21619,10013,1,1465049318000,San Francisco
21619,10014,1,1465049318000,San Francisco
21619,90001,1,1465049312000,San Francisco
21619,90013,1,1465049314000,San Francisco
21619,90015,1,1465049314000,San Francisco
68754,90009,1,1466100158000,Mountain View
68754,90010,1,1466100186000,Mountain View
34615,10006,1,1466092100000,Mountain View
34615,10012,1,1466092104000,Mountain View
34615,10014,1,1466092102000,Mountain View
34615,90002,1,1466092112000,Mountain View
34615,90011,1,1466092108000,Mountain View
34615,90014,1,1466092112000,Mountain View
36401,10008,1,1466100122000,Mountain View
36401,10009,1,1466100122000,Mountain View
