60978,7,1,1460676622000
60978,36,1,1460676638000
60978,44,1,1460676642000
60978,62,1,1460676670000
60978,67,1,1460676648000
60978,78,1,1460676652000
12663,1,1,1460676716000
12663,7,1,1460676720000
12663,10,1,1460676724000
12663,11,1,1460676724000
12663,12,1,1460676718000
12663,13,1,1460676728000
12663,14,1,1460676726000
12663,15,1,1460676726000
12663,16,1,1460676730000
12663,17,1,1460676730000
12663,18,1,1460676730000
12663,24,1,1460676732000
12663,26,1,1460676736000
12663,28,1,1460676738000
12663,30,1,1460676740000
12663,32,1,1460676744000
12663,33,1,1460676742000
12663,38,1,1460676746000
12663,39,1,1460676746000
12663,42,1,1460676748000
12663,44,1,1460676750000
12663,49,1,1460676752000
12663,51,1,1460676754000
12663,54,1,1460676756000
12663,60,1,1460676766000
12663,61,1,1460676764000
12663,62,1,1460676760000
12663,63,1,1460676760000
12663,74,1,1460676776000
12663,79,1,1460676768000
29427,1,1,1460676622000
29427,18,1,1460676600000
29427,21,1,1460676602000
29427,42,1,1460676680000
29427,51,1,1460676628000
29427,52,1,1460676958000
45777,38,1,1460671896000
45777,45,1,1460671896000
45777,50,1,1460671896000
45777,51,1,1460671898000
20229,7,1,1460676668000
20229,18,1,1460676678000
20229,20,1,1460676766000
20229,24,1,1460676682000
20229,28,1,1460676684000
20229,40,1,1460676696000
20229,42,1,1460676688000
20229,49,1,1460676692000
20229,51,1,1460676692000
20229,62,1,1460676698000
3969,3,1,1460676594000
3969,7,1,1460676596000
3969,8,1,1460676598000
3969,10,1,1460676598000
3969,11,1,1460676598000
3969,12,1,1460676600000
3969,14,1,1460676602000
3969,15,1,1460676600000
3969,18,1,1460676602000
3969,25,1,1460676604000
3969,28,1,1460676606000
3969,29,1,1460676608000
3969,34,1,1460676652000
3969,38,1,1460676610000
3969,41,1,1460676612000
3969,42,1,1460676612000
3969,51,1,1460676614000
3969,52,1,1460676614000
3969,54,1,1460676614000
3969,61,1,1460676618000
3969,62,1,1460676618000
3969,63,1,1460676618000
56348,39,1,1460676624000
56348,40,1,1460676630000
56348,44,1,1460676642000
56348,49,1,1460676656000
56348,52,1,1460676624000
56348,64,1,1460676678000
56348,77,1,1460676676000
37477,38,1,1460677094000
6437,27,1,1460676664000
6437,33,1,1460676670000
6437,42,1,1460676672000
6437,61,1,1460676678000
6437,65,1,1460676920000
6437,69,1,1460676686000
86868,7,1,1460676718000
86868,20,1,1460676872000
86868,59,1,1460676694000
86868,62,1,1460676868000
86868,63,1,1460676868000
86868,70,1,1460676876000
53734,12,1,1460752840000
53734,63,1,1460752842000
53734,79,1,1460752870000
34063,21,1,1460676560000
34063,24,1,1460676562000
34063,29,1,1460676566000
34063,35,1,1460676568000
34063,36,1,1460676570000
34063,37,1,1460676572000
34063,41,1,1460676576000
34063,44,1,1460676580000
34063,49,1,1460676594000
34063,50,1,1460676578000
34063,52,1,1460676592000
34063,54,1,1460676582000
34063,74,1,1460676608000
34063,77,1,1460676624000
74715,18,1,1460676688000
74715,52,1,1460676660000
74715,81,1,1460676656000
23426,11,1,1460676766000
23426,18,1,1460676770000
23426,42,1,1460676740000
23426,63,1,1460676814000
23426,69,1,1460676812000
23426,70,1,1460676754000
49360,5,1,1460676654000
49360,7,1,1460676582000
49360,42,1,1460676574000
49360,47,1,1460676664000
49360,54,1,1460676620000
49360,70,1,1460676646000
80675,6,1,1460726666000
80675,7,1,1460726668000
96340,7,1,1460676578000
96340,8,1,1460676610000
96340,10,1,1460676586000
96340,11,1,1460676586000
96340,12,1,1460676560000
